+,.,+,+,+,+,+,.,+,+,.,+,+,+,+,+,+,+,.,.,+,+,.,+,+,.,+,+,.,+,+,+,+,+,+,.,.,+,+,+
.,+,+,.,.,.,+,.,+,+,.,+,+,+,.,+,+,+,.,+,.,.,+,.,+,.,.,+,+,+,+,.,.,+,.,+,+,.,+,+
.,+,+,+,.,+,.,+,.,+,+,+,+,.,+,.,+,+,.,.,+,+,.,.,+,+,+,.,+,+,.,+,.,+,+,+,.,+,+,+
.,.,.,+,+,+,+,+,+,.,.,+,+,+,+,+,.,.,+,.,+,.,+,+,+,+,+,.,.,.,+,+,.,+,.,+,+,.,+,+
.,+,.,.,+,+,+,+,+,+,+,+,+,+,+,+,.,.,+,+,+,.,+,+,+,.,+,+,+,.,.,+,.,.,+,+,+,+,+,+
.,+,+,+,.,.,+,.,+,+,+,.,.,+,+,.,.,+,+,+,+,+,.,.,.,+,.,.,+,+,.,+,+,+,+,+,.,.,.,+
.,+,+,.,+,+,+,+,.,.,.,+,.,.,.,.,.,+,.,+,.,+,+,+,.,+,+,.,+,+,+,+,+,+,.,.,.,+,.,.
+,.,.,.,+,+,.,.,+,+,.,.,.,+,.,+,.,+,+,.,.,+,+,+,.,.,+,+,.,+,+,.,.,.,.,+,+,+,.,+
.,.,+,+,+,+,+,.,.,+,.,.,.,.,+,+,+,+,+,+,+,+,+,+,+,+,+,.,+,+,+,+,+,+,.,+,.,.,.,+
+,.,+,+,+,+,.,.,+,.,+,+,+,+,.,+,+,+,.,+,+,+,+,+,.,+,.,+,+,.,.,+,+,+,.,.,.,+,+,.
+,+,+,+,.,+,.,+,+,.,+,.,.,.,+,+,+,+,.,+,.,.,.,+,+,+,.,.,+,+,.,+,.,+,.,.,+,.,.,.
.,+,+,.,+,.,+,+,.,+,+,+,+,+,.,+,.,+,+,.,.,.,+,+,+,+,+,+,+,+,+,.,+,.,+,+,+,+,.,+
.,.,.,.,.,+,.,.,+,.,+,.,.,.,+,+,.,+,.,.,.,+,.,+,.,.,+,+,+,+,.,+,+,.,.,+,+,.,.,+
.,+,+,.,.,+,.,.,+,+,.,.,+,+,.,+,+,+,.,.,+,.,.,.,+,.,.,+,+,+,.,+,.,+,.,+,+,.,+,.
+,+,+,.,+,+,+,.,+,.,.,+,+,.,.,.,+,.,+,+,+,+,+,.,+,+,+,.,.,.,.,.,.,+,+,+,+,+,+,.
+,.,.,.,+,.,.,.,+,+,.,.,.,.,+,+,+,+,+,.,.,.,.,.,.,+,.,+,+,+,.,+,.,.,+,.,.,+,.,+
.,+,.,+,+,+,+,+,+,.,+,+,+,+,.,+,.,.,+,.,.,+,+,.,+,+,+,+,+,+,+,+,+,+,.,.,+,+,+,.
.,.,+,+,+,+,+,+,.,.,+,.,.,.,+,+,.,+,+,+,+,+,+,.,+,+,+,.,+,.,.,+,+,.,+,.,.,+,.,.
+,.,.,+,+,+,+,+,+,+,+,+,+,.,+,.,.,+,.,+,+,+,+,+,.,.,+,.,+,.,+,+,.,+,+,+,+,+,+,.
.,.,+,+,+,+,.,+,+,+,.,.,.,+,+,.,.,+,+,.,+,.,+,.,.,+,.,+,.,+,+,.,.,+,.,+,+,+,.,.
